Model,Accuracy,Precision,Recall,F1-score,Execution Time (s)
GCN,0.9702970297029703,0.9677339290146438,0.9677339290146438,0.9677339290146438,26.21
GIN,0.9603960396039604,0.9678714859437751,0.9586466165413534,0.9617676748478438,18.47
GAT,0.9900990099009901,0.9887005649717514,0.989247311827957,0.9887883926889014,27.17
SAGE,0.9951456310679612,0.9946236559139785,0.9954337899543378,0.9949911223250164,17.6
TRANSFORMER,0.9607843137254902,0.9622208415311864,0.9610496263619087,0.9615966044537473,24.57
